사용 방법 :
1. AutoHotKey 프로그램을 설치한다.
2. 첨부된 폴더 속에 steno v.3.ahk 파일을 실행한다.
3. Abbreviations 파일에 적힌 대로 사용한다.
4. Esc를 눌러 프로그램을 존경한다.


======== 약어 ========

=== 자주 쓰는 문구 ===

ㅈㄱㅎㄴ; 존경하는 국민 여러분
ㅇㄴ요; 안녕하세요
ㅇㄴ가; 안녕하십니까

ㅂㄷ; ᆸ니다.
ㅂㄱ; ᆸ니까?
ㅅㄷ; ᆻ습니다.
ㅅㄱ; ᆻ습니까?
ㅅㅂㄷ; 십니다.
ㅅㅂㄱ; 십니까?
ㅓㅂㄷ; 었습니다.
ㅓㅂㄱ; 었습니까?
ㄱㄷ; 겠습니다.
ㄱㄱ; 겠습니까?
ㅅㄱㄷ; 시겠습니다.
ㅅㄱㄱ; 시겠습니까?
ㅎㄷ; 합니다.
ㅎㄱ; 합니까?
혀ㄷ; 하였습니다.
혀ㄱ; 하였습니까?
해ㄷ; 했습니다.
해ㄱ; 했습니까?

ㅇㄴㅔ요; 아니에요
ㅇㄴㄷ; 아닙니다.
ㅇㄴㄱ; 아닙니까?
ㅇㄴㅅㄷ; 아니었습니다.
ㅇㄴㅅㄱ; 아니었습니까?
ㄷㅂㄷㄼ; 당부 드리는 바입니다.

갓; 감사
ㄳㅎ; 감사합니다.
ㄳㄷ; 감사드립니다.
고맙습니다.

ㄱ고; 그리고
ㄱ나; 그러나
ㄱ면; 그러면
ㄱㅇ면; 그렇지 않으면
ㄱ게; 그렇게
ㄱ다고; 그렇다고

ㅇㄹ한; 이러한
ㅇㄹ게; 이렇게
ㅇㄹㄴ; 이런

돔; 도무지
ㄷ체; 대체
도체; 도대체
둑; 더욱
두기; 더욱이
ㄷ둑; 더더욱
ㄷ두기; 더더욱이
ㅇ단; 위대한
ㄷㅅ; 다시
ㄷㅅㅂ; 다시한번
ㄱ기; 간곡히
ㄷ시; 단순히
ㅣㅈㄱ; 일찍이
ㅂㄷㅅ; 반드시
비로; 비로소



=== 자주 쓰는 단어/구 ===

간; 간단
ㄱ멸; 국민 여러분
괴; 국회
ㅂ; 법
댈; 대통령
ㅂㅈ; 범죄
경; 경찰
검; 검찰
ㅅ색; 수색
ㅅ사; 수사
핈; 필요성
필; 필요
ㄳ; 검사
ㅇㄱ; 인권
ㅇㅎ; 역할
그; 그것
거; 거기
ㅈㅅㄱ; 전세계
ㅎㅂㄷ; 한반도
ㅇㅅㅇ; 아시아
ㄷㅅㅇ; 동아시아
ㅂㅎ; 북한
틸; 통일
ㄱㅁ; 국민
여; 여러분
ㄴㄹ; 나라
ㄱㅈ; 경제
ㄱㅈㅅㅈ; 경제 성장
ㅈㅂ; 정부
ㄱㅈ샇; 국제사회
엊; 어제
온; 오늘
낼; 내일
ㅈㅅ; 질서
즤; 주의
ㅁ즤; 민주주의
국; 국가
친; 지나친
갇; 갈등
진; 진실
왜; 왜곡
실; 사실
택; 선택
압; 억압
윅; 위기
믿; 믿음
샇; 상황
욕; 용기
ㅎ신; 확신
ㅅㄱ; 세계
ㅅㄱ민; 세계시민
ㄱㄴ; 국내
간; 가능
ㅈㅇ; 자유
퐈; 평화
병; 번영
ㅅㅈ; 성장
밯; 방향
ㅇㄹㄴㄹ; 우리나라
딘; 대한민국
ㅈㄱ; 제거
댝; 도약
ㅕㄱ; 혁신
ㄱㅎ; 과학
깃; 기술

유엔
글로벌



=== 연도/날짜(N은 숫자) ===

벼ㅑN; 191N년
져ㅑN; 192N년
뎌ㅑN; 193N년
겨ㅑN; 194N년
셔ㅑN; 195N년
며ㅑN; 196N년
녀ㅑN; 197N년
여ㅑN; 198N년
려ㅑN; 199N년
혀ㅑN; 200N년
켜ㅑN; 201N년
텨ㅑN; 202N년
쳐ㅑN; 203N년
펴ㅑN; 204N년

월NN; NN월 
일NN; NN일
월ㄹNNNN; NN월 NN일 
진일NN; 지난 NN일
진월NN; 지난 NN월

시NN; NN시
분NN; NN분
초NN; NN초
시분NNNN; NN시 NN분
시분초NNNNNN; NN시 NN분 NN초
분초NNNN; NN분 NN초
